,precision,recall,f1-score,support
Normal,0.686278814489572,0.9657089898053753,0.8023613963039015,9711.0
Attack,0.9624957765514135,0.6659393750487026,0.7872144436256449,12833.0
accuracy,0.7950674237047551,0.7950674237047551,0.7950674237047551,0.7950674237047551
macro avg,0.8243872955204927,0.8158241824270389,0.7947879199647732,22544.0
weighted avg,0.8435132127391999,0.7950674237047551,0.7937391090558502,22544.0
