,precision,recall,f1-score,support
Normal,0.675030643882039,0.964061373699928,0.7940627650551315,9711.0
DoS,0.9634913330265378,0.8421828908554573,0.898762252271589,7458.0
Probe,0.7899332306111967,0.6352746798843453,0.7042124542124543,2421.0
R2L,0.6542553191489362,0.044662309368191724,0.08361658735554045,2754.0
U2R,0.5238095238095238,0.055,0.09954751131221719,200.0
accuracy,0.7680535841022001,0.7680535841022001,0.7680535841022001,0.7680535841022001
macro avg,0.7213040100956467,0.5082362507615844,0.5160403140413865,22544.0
weighted avg,0.7789190183400542,0.7680535841022001,0.7261000853610649,22544.0
